SKU,Quantity,ProductCategory,ProductName,Margin,AverageDiscount,OrderCount_Ratio_Discounted_vs_FullPrice,Seasonality
1053846,1.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Γυναικεία Αρώματα / Eau de Parfum - Parfum,Dolce & Gabbana Pour Femme Eau de Parfum Dolce & Gabbana Pour Femme Eau de Parfum 100 ml,26.24,57.72,inf,october
1054443,1.0,Προϊόντα Ομορφιάς / Μακιγιάζ / Μακιγιάζ Ματιών / Μακιγιάζ & Μολύβια Φρυδιών,Shiseido Brow Inktrio Shiseido Brow Inktrio 02 Taupe,43.52,12.79,inf,july
1058679,1.0,Προϊόντα Ομορφιάς / Περιποίηση Προσώπου / Θεραπείες Προσώπου,Sensai Lash Conditioner 10 ml,36.96,17.02,inf,may-june
1080508,7.0,Προϊόντα Ομορφιάς / ΑΡΩΜΑΤΑ / Γυναικεία Αρώματα / Eau de Parfum - Parfum,Versace Dylan Purple Eau De Parfum Versace Dylan Purple Eau De Parfum 100 ml,32.96,49.57,11.0,november
1084530,1.0,Προϊόντα Ομορφιάς & Καλλυντικά / Περιποίηση Προσώπου / Ενυδάτωση - Αντιγήρανση Προσώπου / Ημέρας,Guerlain Orchidée Impériale The Neck And Décolleté Cream 75 ml,19.68,173.56,inf,november-december
1085181,1.0,Προϊόντα Ομορφιάς & Καλλυντικά / Μακιγιάζ / Μακιγιάζ Χειλιών / Primer Χειλιών,"Guerlain Kisskiss Bee Lift Beautifying Lip Care Primer 3,2 gr Universal Shade",19.68,12.22,1.0,march
1085285,1.0,Προϊόντα Ομορφιάς & Καλλυντικά / ΑΡΩΜΑΤΑ / Γυναικεία Αρώματα / Σετ Αρωμάτων,Narciso Rodriguez For Her Eau de Parfum 100 ml Giftset ,16.74,0.0,0.0,may
3G3000101|G0110|XL,1.0,Ανδρική Μόδα / Ανδρικά Ρούχα / Ανδρικά Πουκάμισα / Ανδρικά Πουκάμισα Casual,Gant ανδρικό κοντομάνικο πουκάμισο button down με τσέπη και λογότυπο Regular Fit Λευκό XL,40.99,34.88,inf,july
3NF1888PO|LGC87|T00,3.0,Γυναικεία Ρούχα & Αξεσουάρ / Γυναικείες Τσάντες / Γυναικείες Τσάντες Ώμου & Shopper Bags,"Lacoste γυναικεία τσάντα ώμου ""Concept Zip Tote"" Καμηλό ONE SIZE",33.03,28.0,inf,january
900278504581,0.0,Προϊόντα Ομορφιάς & Καλλυντικά / Περιποίηση Προσώπου / Ενυδάτωση - Αντιγήρανση Προσώπου / Serums,Lancôme Rénergie C.R.x. Triple Serum Retinol Αντιγηραντικός Ορός με Ρετινόλη 50 ml,36.24,57.71,5.0,april
