SKU,Quantity,PopularMonths
1053846,1.0,october
1054443,1.0,july
1058679,1.0,may-june
1080508,7.0,november
1084530,1.0,november-december
1085181,1.0,march
1085285,1.0,may
3G3000101|G0110|XL,1.0,july
3NF1888PO|LGC87|T00,3.0,january
900278504581,0.0,april
9-2077003501,4.0,november
9-3369027414|EE0018|6-7,0.0,april
9-3372016610|EE0019|13-14,0.0,may
9-3548000301|EE0019|75,1.0,may
9-4499002348|EE0005|50,1.0,may
9-4508000805|EE0019|XL,1.0,may
9-4620000153,0.0,july-august
9-5142000006|EE6930|3434,1.0,july
9-5142000021|EE2556|XXL,2.0,february
9-5142000073|EE8092|L,1.0,june-july
9-5142000075|EE6548|L,2.0,september
9-5143000009|EE6932|L,3.0,april-may
1053770,8.0,june-july
1058725,1.0,february
1058844,7.0,october-december
1058973,5.0,june
1080513,2.0,july
1084747,3.0,april-may
1084438,3.0,may
1084981,6.0,march-may
1085121,2.0,april
12307329,3.0,january-february
3NF2037PO|LGC87|T00,0.0,may
3RO1004|B166NV|TXL,2.0,june
900240501232,2.0,june-july
900278504272,1.0,july
900278504291,1.0,november-december
9-2077003524,2.0,march
9-2077003686,3.0,june-july
9-2077003840,2.0,january
9-3369027369|EE0419|4-5,1.0,february
9-3369027375|EE0051|9-10,0.0,march-april
9-3369027426|EE0018|5-6,0.0,may
9-3370026265|EE0019|7-8,2.0,march
9-3370026280|EE0334|3-4,1.0,may
9-3970008523|EE6517|52,0.0,may
9-4824001937|EE0019|XXX LARGE,1.0,april
9-4879000347|EE1429|48,1.0,february
9-4896001268,1.0,july
9-4896001318,13.0,november
9-4920000121|EE0018|22,0.0,april-may
9-4952000135|ED2799|20,1.0,may
9-5038000242|EE0322|M,1.0,february
9-5142000211|EE2560|L,3.0,march
9-5143000024|EE2707|2728,1.0,july
9-5165000005|EE1411|11.5,1.0,august
1045140,1.0,november-december
1047825,4.0,april
1058831,5.0,july
1080925,7.0,november-december
1084342,2.0,november-december
1084983,6.0,may
1084129,6.0,november-december
12308677,10.0,september
1085073,6.0,april
3CN1551T303|B166NV|T52,3.0,may
900278503921,1.0,july
900278503970,1.0,october-december
900278800974,1.0,april-may
9-2077003779,1.0,november
9-3309010136|ED2082|100,2.0,july-august
9-3370026261|EE0051|5-6,0.0,april
9-3370026314|EE0321|9-10,0.0,may
9-3372016234|EE1075|14-15,1.0,july
935470700066,1.0,june
9-3548000360|EE0019|L,2.0,july
9-3548000537|EE0019|75,1.0,january
9-3970008523|EE2272|52,0.0,may
9-4508000747|EE1171|38-34,0.0,january
9-4552001119|EE1059|41-46,1.0,december
9-4668000123|EE0810|10,0.0,may
9-4730000404|EE0847|1SZ,2.0,may
9-4896001120,5.0,december
9-4896001236,9.0,march
9-4896003008,4.0,october-november
9-5143000009|EE6932|XL,0.0,january-february
9-5143000011|EE6012|L,2.0,january
9-5168000019|EE0327|12,1.0,may
9-5168000023|EE0399|12,2.0,may
1046283,1.0,october
1047820,5.0,december
1058657,3.0,april
1080512,1.0,february
1080965,2.0,january
1084023,5.0,august
1084508,3.0,november
3NF1888PO|LG141|T00,3.0,january
900278503966,1.0,january
900278504379,1.0,july
900278800934,1.0,july
9-3240009276|EE4543|M,6.0,may
9-3309009918|EE0436|090,3.0,february
9-3369026273|EE0051|3-4,1.0,january
9-3548000300|EE0019|90,1.0,january
9-4237004291|EE0019|4,2.0,july-august
9-4552001161|EE1059|36-40,11.0,february
9-4577000197|EC1102|356,1.0,july
9-4580000022|EE0019|378,5.0,may
9-4580000023|EE2890|456,2.0,july
9-4818000103|EE0019|40,1.0,january-march
9-4920000132|EE0051|34,0.0,may
9-5142000002|EE2707|3332,6.0,june
9-5142000209|EE6531|M,3.0,may
9-5143000185|EE6042|L,1.0,april-may
9-5168000019|EE0327|10,1.0,april-may
979278502622,0.0,july
1028285,8.0,october-november
1030018,5.0,september-october
1051710,4.0,november-december
1056713,1.0,april
1057401,3.0,june-july
10697477,1.0,march-april
1080287,4.0,september
3G2003140|G0433|L,3.0,july-august
3G2003140|G0433|XXL,1.0,july-august
3G2003300|G0433|M,0.0,april
3G205066|G0410|38,5.0,july
3G205069|G0248|40,1.0,july-august
3G205069|G0301|34,3.0,july-august
3G205069|G0410|36,2.0,may
3G3250046|G0989|M,0.0,may
3NCS47100|NC2BU|L,1.0,february
3NCT71053|NC6NR|XL,9.0,july
3PJ8915|L001|T10A,1.0,february
3PJ8915|L031|T14A,1.0,december
900240501227,1.0,july
9-3006000492,1.0,september
9-3007002945,1.0,january-march
9-3007002963,1.0,november
9-3007003078,1.0,december
9-3308012486|EC6164|L,2.0,june-july
9-3308012486|EC6164|XXL,3.0,may
9-3308012560|ED2066|S,5.0,february-march
9-3308012720|ED8723|3XL,2.0,may
9-3308012730|EE0039|L,2.0,may
9-3371018751|EE1664|11-12,1.0,july
9-3371018908|EE0019|12-13,1.0,september
9-3371019146|EE0436|10-11,1.0,april
9-4137001133|EA8340|C12,1.0,august
9-4574001573|EE0810|3,1.0,april
9-4574001613|EB9285|3,1.0,may
9-4574001638|EE0317|10,1.0,may
9-4574001656|EE0319|12M,1.0,may
9-4649000000|EA8903|XL,2.0,august
9-4862000074,0.0,september
9-4862000312,1.0,january
9-4862000324,9.0,april-may
9-4896001480,1.0,october-december
9-4896002538,4.0,august
9-4946000254|EE8277|M,0.0,may-june
9-4947000461|ED8657|S,2.0,may
9-4947000464|EE1149|ONESI,2.0,april
9-5103000018|ED1048|38,1.0,march
9-5268000031|ED1998|41,1.0,may
1051479,5.0,june
1051932,4.0,may-june
1052816,3.0,april-may
1056674,4.0,december
1080186,7.0,april
37-46SMA0065092|0000|8,1.0,february
37-49SMA00322M8|0000|7+,0.0,april
3200963864001|P0000|L,2.0,april
3G922516008|G0433|L,3.0,april
3GW4200573|G0113|M,0.0,may
3NCK41050|NC4NN|XXXL,7.0,april-may
3NCS47103|NC00E|XXL,1.0,february
3NCT71053|NC6NR|L,5.0,july
3PJ8915|L166|T4A,1.0,october
3TH9894|LI1K|T5,2.0,may
9-0995032331|EE0017|12,1.0,may
9-0995032915|EE0011|5,1.0,april
9-0995033087|EE1161|16,1.0,may
9-2554002519,3.0,july
9-2554002524,1.0,may
9-3007002943,1.0,january
9-3007003077,1.0,december
9-3007003264,1.0,september
9-3007003370,0.0,april-may
9-3308012493|EB5166|L,1.0,june-july
9-3308012560|ED2066|L,14.0,january-december
9-3308012651|EE0019|3XL,1.0,may
9-3308012710|EE0039|3XL,0.0,may
9-3308012718|EE0039|XL,4.0,may
9-3371018302|EE0322|13-14,1.0,february
939278800255,1.0,april
9-4560000228|ED8969|31,1.0,april
9-4574001566|EE2469|18M,0.0,may
9-4599000525|EE0317|1,1.0,may
9-4649000054|ED6081|M,0.0,january-december
9-4825001769|EA7522|SMALL,0.0,may
9-4862000126,1.0,january
9-4862000127,6.0,july-september
9-4862000182,1.0,july-august
9-4862000401,1.0,july-august
9-4896001525,3.0,june-july
9-4896002536,5.0,december
9-4896002560,6.0,august-september
9-4896002657,10.0,january
9-4946000254|EE1149|M,0.0,february
9-4947000251|EE1149|M,0.0,april-may
9-4947000251|EE1149|XXL,0.0,december
9-5000001856|ED2847|36,1.0,july
9-5238000009,8.0,october-december
9-5269000017|EE0019|L,1.0,february
1051239,2.0,december
1081738,0.0,july
1082043,7.0,march
1082450,4.0,march
1083315,2.0,june
1083349,10.0,june
1083350,4.0,june-july
1083697,3.0,september-october
1058042,4.0,september-november
1082559,2.0,april
1082831,3.0,march
3NCN1R03002|NC459|XL,3.0,may
9-2077003892,2.0,november
9-3308011945|EE0018|L,2.0,july
9-4007005487|EE0529|4,1.0,may
9-4357000369|EE0438|L,2.0,november
9-4559001179|EE0019|T/U,1.0,march
9-4866000088,1.0,december
9-4896003554,8.0,january-february
9-4896003682,6.0,january-february
9-4896003766,2.0,june-july
9-4896003938,7.0,september-october
9-4985000205,2.0,december
9-4985000499,2.0,september
9-5289000003,9.0,january
9-5305000090|EA1183|L,2.0,may
1053022,3.0,december
1054536,1.0,april
1054553,3.0,september-october
1058083,4.0,december
1058370,3.0,july
1058469,2.0,november
1082040,6.0,may
1058558,3.0,june
1058756,2.0,september
1081000,4.0,july
1084770,4.0,march
1084313,2.0,december
12307464,1.0,september
3454966212001|P0000|ONE,0.0,april
3TH8917|L031|T7,1.0,may
900278503971,1.0,january
9-2077003525,0.0,november
9-3309010036|EE8499|085,1.0,april
9-3309010135|ED2081|110,1.0,july
9-3369027375|EE0051|4-5,0.0,march
9-3370026278|EE0321|6-7,0.0,february
9-3372016141|EE0051|11-12,2.0,may
9-3372016567|EE0018|13-14,1.0,may
9-3548000298|EE0019|90,1.0,april
9-3970008593|EE0001|L,2.0,may
9-4237004446|EE2623|5,2.0,march
9-4552001111|EE1059|41-46,1.0,february
9-4620000130,2.0,september
9-5142000028|EE1411|3436,1.0,april
9-5142000047|EE5904|3232,1.0,january
9-5143000010|EE6036|M,0.0,february
9-5143000056|EE2554|2427,1.0,november
9-5143000062|EE1415|2832,0.0,november
9-5143000186|EE6036|26,1.0,may
1045095,1.0,april
1058743,2.0,july
1080436,6.0,september-november
1084310,1.0,february
1084318,4.0,february-march
1085046,3.0,march
1080588,3.0,may-june
1083858,3.0,december
1083984,4.0,july
1084062,3.0,june-july
1084532,3.0,november
3200748765001|P0000|M,0.0,june-july
900278504195,1.0,july
900278504375,1.0,november
917241800127,1.0,july-august
9-2077003847,3.0,october-november
9-3309010134|ED2080|120,1.0,august
9-3309010136|ED2082|075,1.0,april
9-3369027374|EE1661|3-4,1.0,april
9-3370025604|EE0018|7-8,1.0,january
